id,joint,life1_id,life1_name,life1_sex,life1_risk,life1_smoke,life1_birthday,life2_id,life2_name,life2_sex,life2_risk,life2_smoke,life2_birthday,face,issue_date
55,false,632,Matilde Piggot,F,Standard,true,1922-11-01,,,,,,,2.5e6,1958-02-20
56,true,389,Tabitha Meates,M,Standard,false,1966-08-15,390,Klarika Meates,F,Standard,true,1963-06-24,2.5e6,2012-07-03
57,false,2057,Lissi Breinlein,M,Preferred,true,1938-07-09,,,,,,,4.0e6,1964-07-15
58,false,1442,Bernie Champney,F,Preferred,true,1970-12-16,,,,,,,4.5e6,2022-12-02
59,false,2368,Jacynth Tuffey,F,Preferred,false,1965-04-24,,,,,,,900000.0,2006-05-03
60,true,105,Dniren Eccleston,M,Standard,true,1923-05-03,106,Tommi Eccleston,F,Standard,false,1920-05-16,650000.0,1982-10-19
61,true,1493,Marietta Acuna,M,Standard,false,1922-02-15,1494,Savina Acuna,F,Standard,false,1918-06-29,3.35e6,1972-07-01
62,false,3569,Nicoli Drewes,M,Preferred,true,1999-07-14,,,,,,,4.95e6,2058-05-30
63,true,1370,Gloria Barcke,F,Standard,false,1988-06-04,1369,Melina Barcke,M,Preferred,true,1982-01-03,1.5e6,2041-09-15
64,false,3658,Kayley Cardero,F,Standard,true,1952-07-02,,,,,,,1.25e6,1999-12-08
65,false,3932,Nonah Croce,F,Standard,true,1936-05-09,,,,,,,4.6e6,1964-12-22
66,false,3299,Tessi Berrecloth,M,Preferred,true,1969-10-18,,,,,,,4.85e6,2024-06-24
67,false,1227,Krissie Fuente,M,Standard,true,1922-04-29,,,,,,,4.75e6,1956-06-25
68,false,3354,Robena Oylett,F,Preferred,true,1978-10-30,,,,,,,1.25e6,2035-07-05
69,false,2911,Joceline Facer,M,Standard,true,1998-09-12,,,,,,,4.2e6,2026-10-26
70,true,200,Kore Penberthy,F,Preferred,false,1978-04-16,199,Cassie Penberthy,M,Preferred,true,1980-08-18,3.35e6,2019-11-12
71,false,2391,Kata Shurrock,M,Preferred,true,1932-07-28,,,,,,,850000.0,1980-07-11
72,true,2471,Doralin Bartosinski,M,Preferred,false,1972-06-19,2472,Cordelie Bartosinski,F,Standard,true,1982-04-25,5.0e6,2014-07-04
73,false,1438,Cherin Rounce,F,Preferred,false,1974-08-10,,,,,,,1.05e6,2027-05-16
74,false,461,Cal Volkes,M,Preferred,true,1933-06-13,,,,,,,2.15e6,1974-03-02
75,true,2805,Amara Bullant,M,Preferred,false,1979-08-14,2806,Shawnee Bullant,F,Preferred,true,1970-07-11,1.15e6,2028-04-26
76,false,3310,Kevina Rulten,F,Standard,false,1990-06-27,,,,,,,3.3e6,2023-05-20
77,false,2241,Gerti Burtt,M,Preferred,false,1996-02-20,,,,,,,400000.0,2027-11-18
78,false,3361,Vivyanne Twittey,M,Preferred,false,1946-06-09,,,,,,,350000.0,2007-01-13
79,false,861,Ronna Grigore,M,Standard,true,1970-08-14,,,,,,,1.3e6,1996-06-11
80,false,174,Andromache Petzolt,F,Preferred,true,1935-02-22,,,,,,,3.0e6,1992-03-09
81,false,2472,Cordelie Bartosinski,F,Standard,true,1982-04-25,,,,,,,700000.0,2013-10-16
82,false,104,Nedi Clother,F,Preferred,true,1928-07-14,,,,,,,2.45e6,1984-05-18
83,false,491,Estrellita Gainseford,M,Standard,false,1986-08-14,,,,,,,750000.0,2036-11-11
84,false,3764,Livy Inchboard,F,Preferred,false,1982-05-14,,,,,,,450000.0,2034-09-20
85,false,3934,Sande Dory,F,Preferred,true,1949-10-31,,,,,,,100000.0,1999-06-25
86,false,3060,Kristyn Hartwright,F,Standard,false,1991-02-23,,,,,,,3.75e6,2025-09-14
87,false,2945,Rasia Alcoran,M,Standard,true,1926-04-04,,,,,,,2.1e6,1964-08-28
88,false,2047,Cindy Seilmann,M,Preferred,false,1933-12-13,,,,,,,1.0e6,1980-08-16
89,true,179,Pansie Skiplorne,M,Preferred,true,1931-04-16,180,Layla Skiplorne,F,Standard,false,1930-10-19,2.8e6,1969-06-24
90,false,3457,Tracey Foddy,M,Preferred,true,1928-02-20,,,,,,,1.35e6,1972-08-12
91,false,495,Elinor Lawton,M,Standard,true,1996-11-16,,,,,,,4.25e6,2040-10-27
92,false,450,Mellisa Edgell,F,Preferred,true,1986-12-03,,,,,,,2.15e6,2032-01-19
93,false,3995,Gilligan Hadkins,M,Standard,false,1945-09-04,,,,,,,1.9e6,2001-02-28
94,false,2126,Di Batterbee,F,Standard,true,1965-09-20,,,,,,,250000.0,1996-08-01
95,false,902,Rafa Branni,F,Standard,true,1951-06-04,,,,,,,3.3e6,1985-06-09
96,true,2054,Roberta Grewar,F,Preferred,false,1950-12-24,2053,Inna Grewar,M,Standard,false,1942-12-12,3.95e6,1997-09-28
97,false,3830,Charlene Barhams,F,Standard,true,1976-03-15,,,,,,,4.45e6,2008-09-15
98,false,1790,Isadora Flicker,F,Standard,true,1954-05-23,,,,,,,4.4e6,1994-06-06
99,false,1966,Norina Ensley,F,Standard,true,1960-09-16,,,,,,,4.2e6,2005-05-26
100,false,1423,Marci Fletcher,M,Standard,true,1992-11-12,,,,,,,4.15e6,2050-05-12
101,false,198,Engracia Ovey,F,Preferred,true,1945-09-30,,,,,,,2.8e6,1987-05-11
102,false,717,Gale Stemson,M,Standard,false,1936-05-22,,,,,,,3.4e6,1978-03-22
103,false,3628,Oriana McBlain,F,Preferred,true,1959-06-03,,,,,,,3.4e6,1994-12-11
104,false,2485,Rosalie Oliveras,M,Standard,false,1999-07-24,,,,,,,3.05e6,2029-02-07
105,false,758,Daloris Wooder,F,Preferred,true,1935-04-04,,,,,,,2.1e6,1973-04-18
106,true,922,Minerva Freckleton,F,Preferred,true,1986-07-28,921,Dione Freckleton,M,Standard,true,1996-01-29,750000.0,2046-09-08
107,false,1123,Millisent Woodard,M,Standard,true,1955-12-27,,,,,,,100000.0,2002-05-17
108,false,261,Estrella Dank,M,Standard,false,1962-08-04,,,,,,,1.75e6,2023-07-19
109,false,3627,Agata McBlain,M,Standard,true,1960-05-23,,,,,,,400000.0,1999-05-16
110,false,167,Lindi Turrell,M,Preferred,true,1957-05-15,,,,,,,200000.0,2016-01-11
111,true,2140,Wren Nother,F,Standard,false,1979-02-05,2139,Shanie Nother,M,Standard,true,1987-07-10,100000.0,2027-02-16
112,false,1062,Aarika Neesam,F,Preferred,false,1998-08-28,,,,,,,2.8e6,2031-09-19
113,false,555,Elyn Paur,M,Standard,true,1937-06-20,,,,,,,4.65e6,1973-08-17
114,false,2638,Cori Oneil,F,Preferred,false,1980-02-15,,,,,,,1.95e6,2022-03-12
115,false,887,Rachel Tomkin,M,Standard,false,1934-02-06,,,,,,,1.5e6,1967-01-08
116,true,1812,Rakel Philipet,F,Preferred,false,1943-10-23,1811,Brandea Philipet,M,Preferred,false,1953-04-16,350000.0,1976-11-27
117,false,2588,Corie Pley,F,Standard,true,1926-06-16,,,,,,,1.9e6,1961-04-04
118,false,1779,Janith Sabben,M,Preferred,true,1966-08-17,,,,,,,4.65e6,1992-06-06
119,false,2520,Katy Redford,F,Preferred,false,1932-11-09,,,,,,,1.85e6,1990-05-15
120,false,1496,Lydia Blazewicz,F,Standard,false,1984-06-06,,,,,,,4.2e6,2016-12-14
121,false,1773,Gwendolin Norgan,M,Preferred,false,1987-02-18,,,,,,,1.2e6,2016-05-03
122,false,3389,Georgeta Treagus,M,Preferred,true,1988-04-01,,,,,,,3.45e6,2032-12-19
123,false,3907,Robbie Denness,M,Preferred,false,1939-10-07,,,,,,,1.0e6,1970-07-05
124,false,2501,Thomasine Justis,M,Standard,false,1962-10-08,,,,,,,1.6e6,2009-10-19
125,false,1313,Sallyann Rittmeyer,M,Standard,true,1945-11-07,,,,,,,4.1e6,1985-04-12
126,false,872,Shirlene MacManus,F,Standard,true,1927-05-03,,,,,,,2.5e6,1972-11-02
127,false,3750,Yovonnda Danihelka,F,Standard,true,1965-08-02,,,,,,,550000.0,1996-08-03
128,false,1105,Matelda Eles,M,Standard,false,1997-08-27,,,,,,,4.75e6,2054-06-20
129,false,918,Kim Radclyffe,F,Preferred,true,1984-07-02,,,,,,,550000.0,2030-11-04
130,false,1388,Julina Taffs,F,Preferred,true,1938-02-11,,,,,,,900000.0,1981-12-28
131,false,842,Linnet Kerton,F,Preferred,false,1917-10-04,,,,,,,900000.0,1967-10-07
132,false,571,Pennie Huffadine,M,Preferred,true,1927-10-07,,,,,,,3.6e6,1978-03-18
133,false,3684,Gaylene Pionter,F,Standard,false,1967-05-01,,,,,,,2.05e6,1995-11-02
134,false,1977,Hedy Dearnaly,M,Standard,false,1922-09-20,,,,,,,4.3e6,1971-03-21
135,false,1639,Lauryn Vasenkov,M,Preferred,false,1922-09-22,,,,,,,1.4e6,1983-07-04
136,false,2276,Gwendolin Vayne,F,Standard,false,1977-05-05,,,,,,,4.65e6,2027-07-28
137,false,1567,Malynda Ciric,M,Preferred,false,1975-10-20,,,,,,,1.0e6,2028-08-10
138,false,1865,Donetta Guilleton,M,Preferred,true,1939-08-28,,,,,,,600000.0,1991-04-08
139,false,3339,Karyl Antoniak,M,Standard,true,1954-11-14,,,,,,,2.15e6,2010-06-27
140,false,1723,Ruth Tacey,M,Standard,false,1973-04-25,,,,,,,1.3e6,2028-11-22
141,false,2048,Salomi Seilmann,F,Standard,true,1935-01-25,,,,,,,3.55e6,1974-06-09
142,false,1558,Esme Aujouanet,F,Standard,false,2002-06-01,,,,,,,3.3e6,2044-04-10
143,false,932,Neely Giovannardi,F,Standard,false,1966-04-02,,,,,,,1.55e6,2000-07-21
144,false,3806,Quinn Fassam,F,Preferred,false,1979-02-11,,,,,,,3.95e6,2037-02-27
145,false,2674,Fanny Stoller,F,Preferred,true,1940-08-05,,,,,,,1.5e6,1987-05-24
146,false,2905,Timmi Knott,M,Preferred,false,1988-11-06,,,,,,,1.25e6,2043-12-29
147,false,2858,Ginger Abramzon,F,Standard,false,1940-03-08,,,,,,,2.65e6,1968-08-11
148,false,2503,Ashien Gamil,M,Preferred,false,1971-06-23,,,,,,,800000.0,2000-04-17
149,false,3106,Jacquelin Rudd,F,Standard,true,1997-01-04,,,,,,,2.65e6,2052-04-26
150,false,3128,Helsa Aldwinckle,F,Standard,false,1928-09-24,,,,,,,4.85e6,1958-12-23
151,false,2701,Ibbie Griffin,M,Standard,true,1930-01-20,,,,,,,3.2e6,1973-01-16
152,false,3773,Annnora Joll,M,Preferred,false,1952-07-11,,,,,,,1.6e6,2001-02-06
153,false,1052,Ingaborg MacCurtain,F,Standard,true,1965-04-26,,,,,,,4.5e6,2011-10-11
154,false,1130,Franni Iacovuzzi,F,Preferred,false,1970-06-20,,,,,,,400000.0,2011-05-12
155,false,3549,Wendeline McGinty,M,Standard,false,1970-12-11,,,,,,,4.55e6,2030-02-14
156,false,2820,Nedi Affron,F,Preferred,false,1929-12-28,,,,,,,4.95e6,1975-03-11
157,false,3995,Gilligan Hadkins,M,Standard,false,1945-09-04,,,,,,,1.8e6,1972-06-28
158,true,2146,Gaynor Scrammage,F,Preferred,true,1922-03-29,2145,Genovera Scrammage,M,Standard,true,1927-03-18,800000.0,1966-08-28
159,false,2873,Sioux Feeley,M,Preferred,true,1995-06-03,,,,,,,850000.0,2048-05-26
160,false,3358,Vonny Hiers,F,Standard,false,1979-07-25,,,,,,,4.85e6,2017-10-19
161,false,2991,Denna Gebby,M,Standard,true,1997-08-19,,,,,,,750000.0,2047-05-26
162,false,3241,Reena Oglethorpe,M,Preferred,true,1938-08-20,,,,,,,1.5e6,1966-09-22
163,false,849,Lynnelle Cains,M,Preferred,false,1978-07-26,,,,,,,2.0e6,2015-09-02
164,false,2638,Cori Oneil,F,Preferred,false,1980-02-15,,,,,,,2.75e6,2013-02-19
165,false,2272,Enrika Roglieri,F,Preferred,true,1959-03-09,,,,,,,1.0e6,1985-06-10
166,false,1845,Jeanie Glancey,M,Standard,false,1999-04-19,,,,,,,2.55e6,2029-08-26
167,false,2906,Jania Knott,F,Standard,true,1988-08-18,,,,,,,4.25e6,2018-05-14
168,false,947,Carlita Smallcomb,M,Standard,true,1929-03-27,,,,,,,1.0e6,1972-12-04
169,false,3769,Arlene Crosland,M,Preferred,false,1991-08-26,,,,,,,3.7e6,2020-06-26
170,true,3574,Nelly Shave,F,Standard,true,1946-02-22,3573,Nichole Shave,M,Preferred,false,1952-12-13,3.05e6,1979-01-26
171,false,2665,Bunni Toomer,M,Preferred,true,1946-11-13,,,,,,,2.55e6,2000-07-09
172,false,1078,Kate Feldberg,F,Standard,true,1966-06-19,,,,,,,4.45e6,2010-01-28
173,false,3396,Carlee Nadin,F,Standard,false,1947-07-18,,,,,,,1.5e6,1981-07-05
174,false,1103,Kirstyn Boakes,M,Preferred,false,1942-06-14,,,,,,,3.3e6,1989-01-19
175,false,1862,Aggie Winwood,F,Preferred,false,1927-03-13,,,,,,,4.15e6,1980-11-18
176,true,752,Megen Shovelin,F,Preferred,false,1981-05-11,751,Veriee Shovelin,M,Standard,false,1988-06-12,1.8e6,2018-03-08
177,false,412,Marlee Claricoates,F,Preferred,false,1988-05-26,,,,,,,3.65e6,2021-09-16
178,false,1653,Vonnie Barratt,M,Preferred,false,1966-05-25,,,,,,,900000.0,2011-06-01
179,true,319,Lia Demogeot,M,Preferred,false,1991-02-02,320,Lin Demogeot,F,Preferred,true,1987-10-08,550000.0,2050-02-05
180,false,508,Corina Waberer,F,Standard,true,1996-04-13,,,,,,,2.9e6,2044-10-15
181,false,2613,Mallory Inkpen,M,Preferred,false,1997-10-26,,,,,,,4.95e6,2051-10-15
182,false,1402,Daphna Fowell,F,Preferred,false,2001-08-12,,,,,,,2.65e6,2051-02-17
183,false,13,Cathrine Dmiterko,M,Preferred,false,1976-08-03,,,,,,,4.7e6,2002-09-21
184,false,2591,Kerrill Cunde,M,Preferred,true,1996-12-11,,,,,,,800000.0,2042-11-11
185,true,2606,Sena Wolffers,F,Standard,false,1967-11-13,2605,Vi Wolffers,M,Preferred,true,1961-12-30,4.95e6,2023-04-21
186,false,1945,Pegeen Cooksey,M,Standard,false,1938-02-27,,,,,,,4.8e6,1984-11-20
187,false,2765,Jess Mossom,M,Preferred,false,1985-11-26,,,,,,,3.85e6,2033-09-25
188,false,3020,Staci Mucillo,F,Preferred,true,1963-01-31,,,,,,,2.85e6,1993-08-01
189,true,1456,Dniren McGeady,F,Standard,false,1978-07-16,1455,Corrina McGeady,M,Standard,true,1980-08-29,3.2e6,2011-07-05
190,false,1050,Valery Prozillo,F,Standard,true,1994-12-31,,,,,,,700000.0,2041-02-17
191,false,2888,Sadella Mosley,F,Standard,true,1975-11-03,,,,,,,3.35e6,2015-03-30
192,false,1980,Zabrina Spracklin,F,Preferred,false,1995-07-14,,,,,,,2.4e6,2049-01-13
193,false,3095,Magda Janak,M,Preferred,false,1941-03-11,,,,,,,1.9e6,1978-05-06
194,true,2595,Gwendolen Doughill,M,Preferred,false,1991-11-13,2596,Hyacinthia Doughill,F,Preferred,false,1987-06-22,3.5e6,2017-02-10
195,true,1877,Shaylyn Alessandrucci,M,Preferred,true,1953-10-27,1878,Lelia Alessandrucci,F,Preferred,false,1958-04-14,800000.0,2011-07-08
196,true,3664,Bridie Punshon,F,Preferred,true,1964-12-18,3663,Bibi Punshon,M,Preferred,false,1969-09-30,2.7e6,2006-01-10
197,false,3138,Ray Hearty,F,Preferred,false,1941-08-18,,,,,,,1.85e6,1976-10-08
198,true,1874,Catie Lievesley,F,Preferred,true,2003-02-25,1873,Gunilla Lievesley,M,Preferred,true,1999-12-17,1.35e6,2035-12-28
199,false,1148,Teriann Fellow,F,Standard,false,1924-09-12,,,,,,,2.1e6,1953-12-24
200,false,2821,Hadria Balstone,M,Preferred,true,1922-09-19,,,,,,,2.7e6,1973-09-20
201,false,3323,Flossie Folomkin,M,Standard,false,1976-06-20,,,,,,,1.05e6,2011-08-12
202,true,413,Trina Sambrok,M,Preferred,false,1935-01-04,414,Josepha Sambrok,F,Preferred,true,1934-04-30,1.05e6,1968-08-25
203,true,2106,Marisa D'Hooghe,F,Preferred,true,1981-02-16,2105,Tildy D'Hooghe,M,Standard,false,1990-02-14,4.45e6,2029-10-01
204,true,1807,Irma Rafter,M,Standard,true,1964-05-11,1808,Gerrie Rafter,F,Standard,false,1966-03-28,2.2e6,1995-11-18
205,true,2075,Gillan Beeson,M,Standard,false,1972-08-18,2076,Rochell Beeson,F,Preferred,false,1974-01-23,1.7e6,2013-03-07
206,false,976,Nicol Bladge,F,Preferred,true,1986-03-30,,,,,,,1.35e6,2021-06-20
207,false,1988,Celinda McClements,F,Preferred,true,1937-11-01,,,,,,,100000.0,1964-08-20
208,false,323,Martina Knibbs,M,Preferred,false,1953-09-21,,,,,,,2.0e6,1987-12-20
209,false,3495,Viva Haggus,M,Preferred,true,1928-06-01,,,,,,,4.65e6,1964-01-10
210,false,2703,Mollie Cohr,M,Standard,true,1953-03-21,,,,,,,1.5e6,1979-11-22
211,false,2803,Grazia Wooffitt,M,Standard,false,1925-06-08,,,,,,,4.65e6,1958-09-30
212,false,1858,Margeaux Gavrielli,F,Standard,false,1929-05-16,,,,,,,300000.0,1963-11-30
213,false,3675,Dolorita De Francisci,M,Preferred,false,1925-05-04,,,,,,,850000.0,1981-09-20
214,false,3740,Blanche MacCaig,F,Standard,false,1936-10-23,,,,,,,4.35e6,1986-08-06
215,false,2863,Dulcine Trunchion,M,Preferred,false,1960-12-10,,,,,,,350000.0,2016-11-12
216,false,1024,Deva Madigan,F,Standard,true,1983-06-21,,,,,,,1.85e6,2025-08-22
217,true,3648,Stephana Thew,F,Standard,true,1976-01-16,3647,Ferdinande Thew,M,Preferred,true,1984-02-29,2.2e6,2023-09-09
218,true,2129,Anthe Kerwood,M,Preferred,false,1927-01-19,2130,Jordain Kerwood,F,Standard,false,1929-01-18,2.25e6,1975-03-01
219,false,3159,Lorettalorna McTurk,M,Preferred,false,1959-12-10,,,,,,,4.9e6,1999-09-30
220,false,2048,Salomi Seilmann,F,Standard,true,1935-01-25,,,,,,,4.25e6,1964-11-20
221,false,2118,Renate Scawton,F,Standard,false,1985-05-26,,,,,,,3.25e6,2026-11-11
222,false,3707,Antonina Syres,M,Standard,false,1982-10-29,,,,,,,850000.0,2012-02-29
223,false,2920,Arline Matignon,F,Standard,true,1934-03-05,,,,,,,4.85e6,1963-04-06
224,false,1531,Patrica Hucker,M,Preferred,true,1982-12-21,,,,,,,2.3e6,2028-04-02
225,false,2736,Georgianne Ariss,F,Preferred,false,1962-10-01,,,,,,,4.7e6,2017-09-01
226,false,68,Molli Petrillo,F,Preferred,false,1932-01-01,,,,,,,150000.0,1981-01-31
227,false,3717,Ira Singleton,M,Standard,false,1958-07-07,,,,,,,2.5e6,2013-09-06
228,false,2086,Celine Chat,F,Standard,true,1917-11-23,,,,,,,500000.0,1959-10-06
229,false,3289,Alexandra Goodlett,M,Standard,false,1962-10-09,,,,,,,1.8e6,2023-02-11
230,false,3802,Nonah Ollett,F,Preferred,true,1933-10-30,,,,,,,4.5e6,1974-03-28
231,false,1020,Donnajean Brommage,F,Preferred,true,1960-11-18,,,,,,,700000.0,1992-03-08
232,false,819,Lissy Messitt,M,Standard,true,1927-02-17,,,,,,,3.95e6,1963-09-23
233,false,3846,Betsey Vesty,F,Preferred,false,1938-03-19,,,,,,,1.1e6,1983-01-28
234,false,175,Sherri Milksop,M,Preferred,false,1941-08-23,,,,,,,3.45e6,1974-07-23
235,false,1021,Fawne Dow,M,Preferred,false,1979-02-27,,,,,,,4.05e6,2027-04-05
236,false,3340,Wandie Antoniak,F,Standard,true,1956-02-10,,,,,,,4.25e6,2004-01-28
237,false,1825,Shana Victoria,M,Standard,false,1938-06-17,,,,,,,2.25e6,1987-07-10
238,false,944,Adora Germaine,F,Preferred,false,1997-03-16,,,,,,,4.85e6,2028-02-19
239,false,1787,Selma Grishakin,M,Standard,false,1985-01-21,,,,,,,2.0e6,2040-11-03
240,false,110,Loren Dacey,F,Standard,false,1946-02-21,,,,,,,1.2e6,1993-01-15
241,false,3140,Karna Attoe,F,Preferred,false,1920-05-07,,,,,,,1.3e6,1969-07-04
242,true,3324,Collie Folomkin,F,Standard,true,1968-01-23,3323,Flossie Folomkin,M,Standard,false,1976-06-20,1.8e6,1995-06-11
243,false,2700,Gisella McFadzean,F,Preferred,false,1959-02-03,,,,,,,2.65e6,1987-07-12
244,false,542,Gilligan Tomaini,F,Standard,false,2004-06-18,,,,,,,3.95e6,2062-02-24
245,false,3557,Rivalee Stickles,M,Preferred,false,1927-04-01,,,,,,,3.55e6,1966-01-25
246,false,3647,Ferdinande Thew,M,Preferred,true,1984-02-29,,,,,,,1.95e6,2024-12-12
247,false,331,Tandie Bleue,M,Standard,true,1948-06-30,,,,,,,2.6e6,2001-07-17
248,false,1960,Jillie Curragh,F,Preferred,true,1975-02-06,,,,,,,4.45e6,2008-05-05
249,false,1282,Alecia Rees,F,Preferred,false,1953-07-16,,,,,,,3.6e6,1987-05-30
250,false,3144,Drucy Leggon,F,Preferred,false,1964-12-23,,,,,,,500000.0,2004-04-15
251,false,465,Goldina Syson,M,Standard,false,1970-06-23,,,,,,,4.75e6,2019-06-21
252,true,27,Maegan Braithwaite,M,Standard,false,1920-04-09,28,Lucy Braithwaite,F,Standard,false,1922-12-02,1.3e6,1949-08-31
253,false,2799,Nert Ullyatt,M,Preferred,true,1962-07-05,,,,,,,1.1e6,1996-05-08
254,false,1748,Michaeline O'Shavlan,F,Preferred,true,1963-03-14,,,,,,,3.3e6,1991-05-18
255,false,1824,Rhody Ayrs,F,Standard,true,1999-03-17,,,,,,,200000.0,2036-06-02
256,false,3539,Sarita Thecham,M,Standard,false,1963-04-22,,,,,,,400000.0,1998-04-13
